int ,string,string,string
index,name,Emotion,script
1,나래이션,happy,배경
2,승형,sad,???
3,마법사,point,네가 승형이니?
4,승형,happy,네. 제가 승형이에요
5,마법사,sad,그렇구나
6,송멀린,point,나는 아이들이랑 대결하는 걸 좋아하는 마법사 송멀린이야.
7,송멀린,happy,나랑 대결해볼래?
8,승형,sad,그러죠 뭐
9,송멀린,point,좋은 생각이야
10,송멀린,happy,루모스-!
11,승형,sad,우아아
12,승형,point,저도 그 지팡이만 있으면 마법을 쓸 수 있을까여
13,송멀린,happy,난 줄 생각이 없는데( ͡° ͜ʖ ͡°)
14,승형,sad,ㅜㅜ
15,승형,point, 아 그렇지. 서랍을 뒤져보면 전에 쓰던 AR 전자 키트가 있을거야.
16,승형,happy,따란- 
17,승형,sad,이제 멀린이랑 대결할 준비가 다 된 것 같아. 멀린이 아까 한 것처럼 전자키트로 빛을 만들어보자
18,,,이게 끝